product_id,title,category,price,original_price,discount_percent,rating,rating_count,availability,brand,product_url,scraped_at
d907fd91d61c2cd888364181da7b54d8,It's Only the Himalayas,Travel,45.17,49.72,9.15,2,381,In stock,Generic,http://books.toscrape.com/catalogue/../its-only-the-himalayas_981/index.html,2025-10-15T09:44:32.003443
71926acf8177f528eeb45abc70f4c094,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,56.55,12.59,4,398,In stock,Generic,http://books.toscrape.com/catalogue/../full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,2025-10-15T09:44:32.004435
002a85c93aeca890a89de8004afdf893,See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,57.28,14.68,3,379,In stock,Generic,http://books.toscrape.com/catalogue/../see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,2025-10-15T09:44:32.005448
21021825e15d8e1d1b23a4f73bf61e1f,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,40.91,9.7,2,421,In stock,Generic,http://books.toscrape.com/catalogue/../vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,2025-10-15T09:44:32.008431
7f27652a7b1d5c0d45b1bfc398396ae1,Under the Tuscan Sun,Travel,37.33,43.24,13.67,3,246,In stock,Generic,http://books.toscrape.com/catalogue/../under-the-tuscan-sun_504/index.html,2025-10-15T09:44:32.009439
60d47dd2afa5e4f3a15bbf901fe15b74,A Summer In Europe,Travel,44.34,50.08,11.46,2,143,In stock,Generic,http://books.toscrape.com/catalogue/../a-summer-in-europe_458/index.html,2025-10-15T09:44:32.010465
b39564862bc23236818357278d6eadf1,The Great Railway Bazaar,Travel,30.54,36.48,16.28,1,387,In stock,Generic,http://books.toscrape.com/catalogue/../the-great-railway-bazaar_446/index.html,2025-10-15T09:44:32.010465
acbea00438a7a5d78ba5020c6a0e5f9a,A Year in Provence (Provence #1),Travel,56.88,62.86,9.51,4,32,In stock,Generic,http://books.toscrape.com/catalogue/../a-year-in-provence-provence-1_421/index.html,2025-10-15T09:44:32.012430
a4befb320dc0e8249cd11343a0ece278,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,27.06,14.23,1,405,In stock,Generic,http://books.toscrape.com/catalogue/../the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,2025-10-15T09:44:32.013429
45aa6d5f6a490e5af342aac675cc4edf,Neither Here nor There: Travels in Europe,Travel,38.95,46.44,16.13,3,205,In stock,Generic,http://books.toscrape.com/catalogue/../neither-here-nor-there-travels-in-europe_198/index.html,2025-10-15T09:44:32.013429
ed91a10cf0a86239beb9f6f3ea3d13c5,"1,000 Places to See Before You Die",Travel,26.08,30.87,15.52,5,375,In stock,Generic,http://books.toscrape.com/catalogue/../1000-places-to-see-before-you-die_1/index.html,2025-10-15T09:44:32.014440
04d3d95e7b7c87b5dd59fb6c72920aad,Sharp Objects,Mystery,47.82,56.93,16.0,4,345,In stock,Generic,http://books.toscrape.com/catalogue/../sharp-objects_997/index.html,2025-10-15T09:44:33.754173
218180da9fa715876e7ea2d56b66615f,"In a Dark, Dark Wood",Mystery,19.63,22.58,13.06,1,337,In stock,Generic,http://books.toscrape.com/catalogue/../in-a-dark-dark-wood_963/index.html,2025-10-15T09:44:33.755170
ba8993a5ec10648d3a80a0106270c21c,The Past Never Ends,Mystery,56.5,62.5,9.6,4,350,In stock,Generic,http://books.toscrape.com/catalogue/../the-past-never-ends_942/index.html,2025-10-15T09:44:33.756178
bf19398e9cdcac68a60c6c493db1302a,A Murder in Time,Mystery,16.64,19.26,13.6,1,436,In stock,Generic,http://books.toscrape.com/catalogue/../a-murder-in-time_877/index.html,2025-10-15T09:44:33.756178
5f269f8e2ccf3124408af6a51ac26f20,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,51.36,14.14,4,470,In stock,Generic,http://books.toscrape.com/catalogue/../the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,2025-10-15T09:44:33.757179
